order_id,first_name,last_name,date_of_birth,phone,email,street,city,postal_code,state,order_date,payment_type,product_name,price,quantity,order_total
1,Sage,Wieser,9/16/1998,605-414-2147,sage_wieser@cox.net,5 Boston Ave #88,Sioux Falls,57105,SD,10/1/2016,VISA                     ,Strongtam,18.99,4,75.96
3,Bette,Nicka,12/28/1978,610-545-3615,bette_nicka@cox.net,6 S 33rd St,Aston,19014,PA,11/29/2016,VISA                     ,Runhome,2.99,3,158.93
3,Bette,Nicka,12/28/1978,610-545-3615,bette_nicka@cox.net,6 S 33rd St,Aston,19014,PA,11/29/2016,VISA                     ,Runhome,71.99,2,158.93
3,Bette,Nicka,12/28/1978,610-545-3615,bette_nicka@cox.net,6 S 33rd St,Aston,19014,PA,11/29/2016,VISA                     ,Vilaity,2.99,2,158.93
4,Solange,Shinko,1/12/1979,504-979-9175,solange@shinko.com,84 Bloomfield Ave,Spartanburg,29301,SC,6/9/2013,ACH                      ,Solo-In,72.99,3,218.97
5,Tamar,Hoogland,2/20/1979,740-343-8575,tamar@hotmail.com,1321 Balsam,Boulder,80026,CO,11/15/2016,MASTER CARD              ,Stimstring,16.99,3,146.96
5,Tamar,Hoogland,2/20/1979,740-343-8575,tamar@hotmail.com,1321 Balsam,Boulder,80026,CO,11/15/2016,MASTER CARD              ,Trans Zimnix,95.99,1,146.96
6,Sage,Wieser,9/16/1998,605-414-2147,sage_wieser@cox.net,5 Boston Ave #88,Sioux Falls,57105,SD,8/21/2015,BANK ACCOUNT             ,K-qvokix,47.99,4,211.95
6,Sage,Wieser,9/16/1998,605-414-2147,sage_wieser@cox.net,5 Boston Ave #88,Sioux Falls,57105,SD,8/21/2015,BANK ACCOUNT             ,Qvo-Is,19.99,1,211.95
7,Malinda,Hochard,3/14/1979,317-722-5066,malinda.hochard@yahoo.com,6 Gilson St,Bronx,10468,NY,1/28/2014,MASTER CARD              ,Stimstring,80.99,2,179.97
